Hour,Segment,Average,Median,StdDev
0,DNM,0.0,0.0,0.0
1,DNM,0.0,0.0,0.0
2,DNM,0.0,0.0,0.0
3,DNM,0.0,0.0,0.0
4,DNM,0.0,0.0,0.0
5,DNM,0.0,0.0,0.0
6,DNM,0.0,0.0,0.0
7,DNM,1.9833333333333334,1.9833333333333334,0.0
8,DNM,1.1333333333333333,1.1333333333333333,0.85
9,DNM,0.8222222222222223,0.2833333333333333,0.8217340893380577
10,DNM,0.24583333333333335,0.24166666666666667,0.14451787663353854
11,DNM,0.25,0.25,0.2
12,DNM,0.45,0.45,0.0
13,DNM,0.8222222222222223,0.2833333333333333,0.8217340893380577
14,DNM,0.8222222222222223,0.2833333333333333,0.8217340893380577
15,DNM,0.8222222222222223,0.2833333333333333,0.8217340893380577
16,DNM,0.8222222222222223,0.2833333333333333,0.8217340893380577
17,DNM,0.0,0.0,0.0
18,DNM,0.0,0.0,0.0
19,DNM,0.0,0.0,0.0
20,DNM,0.0,0.0,0.0
21,DNM,0.0,0.0,0.0
22,DNM,0.0,0.0,0.0
23,DNM,0.0,0.0,0.0
0,TST,0.0,0.0,0.0
1,TST,0.0,0.0,0.0
2,TST,0.0,0.0,0.0
3,TST,0.0,0.0,0.0
4,TST,0.0,0.0,0.0
5,TST,0.0,0.0,0.0
6,TST,0.0,0.0,0.0
7,TST,0.0,0.0,0.0
8,TST,0.48333333333333334,0.48333333333333334,0.3833333333333333
9,TST,0.8666666666666667,0.8666666666666667,0.0
10,TST,0.7037500000000001,0.7037500000000001,0.16291666666666665
11,TST,0.7037500000000001,0.7037500000000001,0.16291666666666665
12,TST,0.7037500000000001,0.7037500000000001,0.16291666666666665
13,TST,0.7037500000000001,0.7037500000000001,0.16291666666666665
14,TST,0.7037500000000001,0.7037500000000001,0.16291666666666665
15,TST,0.7037500000000001,0.7037500000000001,0.16291666666666665
16,TST,0.7037500000000001,0.7037500000000001,0.16291666666666665
17,TST,0.0,0.0,0.0
18,TST,0.0,0.0,0.0
19,TST,0.0,0.0,0.0
20,TST,0.0,0.0,0.0
21,TST,0.0,0.0,0.0
22,TST,0.0,0.0,0.0
23,TST,0.0,0.0,0.0
0,WL,0.0,0.0,0.0
1,WL,0.0,0.0,0.0
2,WL,0.0,0.0,0.0
3,WL,0.0,0.0,0.0
4,WL,0.0,0.0,0.0
5,WL,0.0,0.0,0.0
6,WL,0.0,0.0,0.0
7,WL,0.0,0.0,0.0
8,WL,0.3833333333333333,0.19166666666666665,0.4392227984368146
9,WL,0.3833333333333333,0.19166666666666665,0.4392227984368146
10,WL,0.016666666666666666,0.016666666666666666,0.0
11,WL,0.3833333333333333,0.19166666666666665,0.4392227984368146
12,WL,0.65,0.65,0.48333333333333334
13,WL,1.1333333333333333,1.1333333333333333,0.0
14,WL,1.1333333333333333,1.1333333333333333,0.0
15,WL,0.31666666666666665,0.31666666666666665,0.0
16,WL,0.31666666666666665,0.31666666666666665,0.0
17,WL,0.31666666666666665,0.31666666666666665,0.0
18,WL,0.0,0.0,0.0
19,WL,0.0,0.0,0.0
20,WL,0.0,0.0,0.0
21,WL,0.0,0.0,0.0
22,WL,0.0,0.0,0.0
23,WL,0.0,0.0,0.0
