Base maneuvering time,load/unloading time,TOOL WAITING,LOAD SECUREMENT,Crane waiting,LiftTruck wait time,Administrative papers/authorisations,Service Planification Delays,Coordination SEG - DRIVERS,other delays
00:04:00,,,,,01:27:00,,,,
00:03:00,,,,,,,,,
,,01:59:00,,,,,,,
,,,,,,,,01:04:00,
,,,,02:48:00,,,,,
,,00:32:27,,,,,,,
00:08:00,,,,,,,,,
,,,,03:00:00,,,,,
00:07:00,00:08:00,,00:10:00,,,00:06:00,,,
,,,,02:35:00,,,,,
00:55:00,00:06:00,,00:34:00,,,,,00:29:00,
,,,,04:32:00,,,,,
00:05:00,00:04:00,,,,00:29:00,,,,
00:04:00,00:06:00,,00:02:00,,,,,,
00:09:00,00:05:00,,,,,,,,
,,,,,00:05:00,00:25:00,,,
,,00:27:00,00:11:00,,,,,,
00:05:00,00:07:00,,,,00:16:00,,,,
00:06:00,00:02:00,00:19:00,00:03:00,,,,,,
00:05:00,00:40:00,00:17:00,00:11:00,,,00:18:00,,,
00:04:00,00:13:00,,,,,,,,
00:09:00,00:13:00,00:01:00,00:25:00,,,00:09:00,,,
00:04:00,00:04:00,00:10:00,00:07:00,,,,,,
00:07:00,00:07:00,,00:14:00,,,00:04:00,,,
00:02:00,00:02:00,,00:10:00,,,00:36:00,,,
00:03:00,00:26:00,,00:53:00,,00:11:00,,,,
00:03:00,00:07:00,,,,00:05:00,,,,
00:04:00,00:14:00,00:06:00,00:09:00,,,00:07:00,,,
00:02:00,00:32:00,,00:11:00,,,,,,
,00:34:00,,00:13:00,,,00:32:00,00:17:00,,
00:05:00,00:06:00,,00:13:00,,,,,,
00:02:00,00:08:00,,00:05:00,,,,,,
00:07:00,00:26:00,,00:12:00,,00:15:00,00:43:00,,,
00:12:00,00:10:00,,00:13:00,,,00:11:00,,00:31:00,
00:13:00,,,00:06:00,,,,,,00:48:00
00:11:00,00:04:00,,00:06:00,,,,,,
00:05:00,00:04:00,01:08:00,00:08:00,,,,,,
00:03:00,00:25:00,,,00:05:00,00:49:00,,,,
00:02:00,00:07:00,,00:03:00,,00:22:00,,,,00:07:00
00:26:00,00:09:00,00:03:00,,,,00:08:00,,,00:18:00
00:05:00,00:03:00,00:13:00,00:07:00,,,,,,
00:16:00,00:09:00,,,,,00:05:00,,,00:19:00
00:05:00,00:14:00,,00:15:00,,,00:14:00,00:11:00,,
,00:21:00,,00:08:00,00:10:00,,00:25:00,00:12:00,,
00:04:00,00:20:00,00:52:00,00:21:00,00:27:00,,,00:38:00,,
00:04:00,00:03:00,,00:09:00,00:07:00,,,,,
00:06:00,00:16:00,,,,,,,,
00:02:00,00:13:00,,00:04:00,,,,00:06:00,,
00:04:00,00:01:00,,00:04:00,,00:04:00,,00:10:00,,
00:05:00,00:09:00,,00:15:00,,00:14:00,,,,
00:05:00,00:20:00,,00:16:00,,00:09:00,00:16:00,,,
00:13:00,00:14:00,,00:11:00,,00:54:00,,,00:54:00,
00:03:00,00:25:00,00:12:00,00:15:00,,,00:41:00,,,
00:06:00,00:01:00,,00:07:00,,,,,,
00:04:00,00:03:00,,00:04:00,,,,,00:13:00,
01:03:00,00:05:00,,,,00:05:00,,,,
00:16:00,00:18:00,,00:37:00,,,,,,00:24:00
,,,,,,,02:44:00,,
